payment_id,booking_id,amount,tip,status,payment_date
4bc1f4d2-e5ce-4bb3-8035-0f734cb97549,492670bf-d8f0-461b-86b1-df376f72e663,6.98,0.0,refunded,2026-01-24T16:07:49.580341
a257d5d8-1751-4491-8849-c517a8cd1dd0,cc57a8ec-b6f0-436d-bf09-f223e8c6fbed,6.2,0.0,pending,2026-01-24T16:07:49.580405
3cab1d56-decd-417e-ae30-6c00af53476e,23499b05-5ab8-4866-bb89-dfa5a151cd5e,5.03,0.0,pending,2026-01-24T16:07:49.580440
3e968ac4-d245-4f6f-bfd3-1c650b8efcc6,f37dcd49-9379-464f-8f98-5fd901c5d83e,13.84,0.0,released,2026-01-24T16:07:49.580474
22c4dee4-bb3c-444f-a985-003cc2a0de6e,9a595cda-aa9d-4310-98ad-d16f9f7f7e60,14.14,0.0,blocked,2026-01-24T16:07:49.580503
e476b7f9-dafb-46b1-99fb-85f7388f4caf,e8c08243-998c-4261-a020-f2699ba1eaeb,15.94,0.0,refunded,2026-01-24T16:07:49.580528
a318b1e1-05bf-48bf-85b4-53bdc688f210,a9f1195e-b1e4-4a39-91ae-133ba4f6204b,18.08,0.0,blocked,2026-01-24T16:07:49.580553
6c325668-8a9b-492f-916f-2f6a2ef7c09d,5b5ce2fb-bd2e-41e4-902f-b548d0d0f072,14.05,0.0,refunded,2026-01-24T16:07:49.580576
d632404d-3b88-49fa-b02d-a7b8bae88052,ef1f83ee-982f-4b39-8b9d-d6a935646e49,20.29,0.0,blocked,2026-01-24T16:07:49.580601
6a96d46a-f2ad-43ed-b6f5-32efacf4b07c,451757cc-7a3a-4d54-996c-d2cc3840c5ae,5.4,0.0,blocked,2026-01-24T16:07:49.580626
35383875-a42a-416e-9e71-98a87ec0057e,f7d4b3a9-fc78-49ff-8b97-643a8a6da5e0,5.24,0.0,refunded,2026-01-24T16:07:49.580649
0a6d431d-3a6b-4550-a32b-455c8af7e91a,c83298d5-5421-47a2-89cb-25b12dbef08d,12.26,0.0,pending,2026-01-24T16:07:49.580671
1e533fba-1bf1-4c0a-aba5-1e742b93512f,1e84898a-5b57-466e-bbb4-96c9bbf2060a,8.63,0.0,released,2026-01-24T16:07:49.580698
e66aa071-49b6-4790-90c9-f6a6307b6ef9,58211f99-2639-48e5-8629-27a615ffd1f8,8.73,0.0,pending,2026-01-24T16:07:49.580720
79e4e949-af42-49d9-87a0-d6cddd29fb39,14f0409d-d8a9-420c-b589-524fb77f517c,7.64,0.0,blocked,2026-01-24T16:07:49.580742
439285a0-1f48-4174-8c88-7d2b2ef6ab8f,0959660b-85df-48a9-b032-3d5d935673b0,6.56,1.94,blocked,2026-01-24T16:07:49.580771
02fd2590-6146-4678-8967-e0ae290a1a6e,474d469b-abfc-4bee-91d2-feab31535f8a,5.42,0.0,refunded,2026-01-24T16:07:49.580793
6e7f9702-5533-43ad-8403-cf4f36194214,937b2698-a901-4176-8b45-f8d00754d774,9.27,3.18,released,2026-01-24T16:07:49.580818
658cc86d-5345-4a51-af0a-ea1c888dd90b,4577f6ab-ad16-4ca4-ab59-fee5b97d41da,7.26,0.0,pending,2026-01-24T16:07:49.580843
8e61a27d-1a23-4849-9567-d07dd9c423d1,78880830-28da-447b-a524-b658dc0a2cdf,10.72,0.0,pending,2026-01-24T16:07:49.580866
4e1a82d4-24ba-490d-b478-066638bb14e6,d3658def-3bf7-4577-a6db-013bd08f0dcc,12.51,1.56,blocked,2026-01-24T16:07:49.580891
1cf463b8-123b-4b9d-ae06-66b60e36ffbf,377990c7-1940-4a3e-b51a-4106d6b8f40b,10.81,0.0,blocked,2026-01-24T16:07:49.580914
677f6bd8-5b89-46de-a0a4-a6b91230da05,0c18fa90-7cba-483e-83e0-55006954167d,10.78,0.0,blocked,2026-01-24T16:07:49.580936
042c91b6-7582-4d09-bbe7-3612a165887f,bffd9b23-bf62-415b-b391-39dd84b91646,9.9,0.39,released,2026-01-24T16:07:49.580961
63c8b2b6-c9cf-4c58-a209-dd05b2fb2449,b179d717-4ea2-42fe-90b1-fe84a2b628af,11.09,4.59,released,2026-01-24T16:07:49.580988
63c69e1d-ee86-4ad8-8089-71ecf8253108,b3b2a19a-c1ca-44e4-afb6-c8da286e0c9e,20.7,0.0,blocked,2026-01-24T16:07:49.581011
29cff955-644b-4b80-af4b-b8b5c255abaa,736f4136-ce9c-4e65-99f1-1e4579b5e15c,17.18,4.74,blocked,2026-01-24T16:07:49.581035
4b1a853b-bd0d-4e80-9fe6-bdb72b39cc8c,475b4fb8-5f08-457a-bd46-b39578ca7a20,16.6,0.0,refunded,2026-01-24T16:07:49.581056
cd22edc1-de82-4ef4-8be0-3dfdcc2daa81,e1a19b28-a448-4e00-ae2f-1bda385e957c,15.39,2.6,released,2026-01-24T16:07:49.581079
b3a9aac4-33e2-49e3-8e46-835e2f23995c,b48b955a-756e-4389-877b-1cc55016f485,16.63,0.0,blocked,2026-01-24T16:07:49.581101
116dadf8-2af9-4982-a01c-9cc20ade93b1,0e21a6aa-2326-458c-8145-d9c0be2d70e5,6.26,0.0,released,2026-01-24T16:07:49.581123
a8a7c4a1-89f5-4849-8454-f50734c5e522,698fce7a-3ee0-41c8-8745-c0e8442b926c,7.29,0.0,refunded,2026-01-24T16:07:49.581145
bf5af191-8d88-456f-999c-517f6d3b0473,e6ac2ec7-e665-4f76-8798-ebc6b1a68b0a,8.4,0.0,blocked,2026-01-24T16:07:49.581168
3b3b6cdb-5f29-40f1-a748-b61f726be5d4,fcd1a4b3-80b1-4a5c-9b9a-bb05f9e08767,18.59,4.4,released,2026-01-24T16:07:49.581191
1ecedf9e-0d4c-4a44-858f-c0da897ce94e,0053c384-1912-479f-952b-2ad7eadb6f1a,15.74,0.0,released,2026-01-24T16:07:49.581213
87ca46a7-9fd9-4903-8193-096df9224e13,dfe38b85-3c7f-45c9-bc00-164e844c21f2,14.95,1.01,released,2026-01-24T16:07:49.581234
3d552abf-cac7-4bcc-a80d-0b5831f022eb,bb972237-2d34-4943-b39d-596f506b90cc,6.43,3.18,released,2026-01-24T16:07:49.581256
73c682c5-b82f-472f-80cb-0b4a6f748d5e,1c628da8-856c-48c9-867e-d07314d02fc1,5.5,0.0,pending,2026-01-24T16:07:49.581281
a16b9fa4-e523-4edf-9201-8ae1c4116f15,21244972-3075-47cd-91f1-d139ad8b74aa,14.06,0.0,refunded,2026-01-24T16:07:49.581302
7c342989-6141-4fb7-9b1c-a23857a898da,0c7f71f2-96a6-4d5a-97c4-9ff2275a8e18,15.7,3.92,released,2026-01-24T16:07:49.581325
89a1fd74-001c-4fbc-979d-3884adda8225,93ed4bbf-3d98-4c28-aa05-fc4a6dc6458d,13.76,0.0,pending,2026-01-24T16:07:49.581347
e104cf52-3296-4aa5-87f1-9d0ba54c97dd,20a79048-504e-49d7-9286-b9eb0ce47adc,15.96,0.0,pending,2026-01-24T16:07:49.581369
9ffe0162-420d-40d0-8611-8a3a5f22f5d0,7c7e69f2-477f-4d81-b777-267600891f34,11.65,0.0,pending,2026-01-24T16:07:49.581389
a2e6e3d8-b556-4b89-80fc-57b905856886,d5ff264d-437d-410b-8fa3-cf2dfd3b1d5b,14.62,0.0,blocked,2026-01-24T16:07:49.581412
