driver_id,total_rides,avg_price,total_earnings,avg_tip
1,517,15.097446808510638,10917.27,0.4951653363740023
3,517,15.06458413926499,11226.63,0.4511640798226164
4,517,14.940154738878144,11670.24,0.49684378320935174
5,517,14.939961315280465,10648.94,0.4317728852838934
6,517,14.890077369439071,11308.07,0.3606688596491228
9,517,14.736015473887814,11245.8,0.3916575790621592
11,517,15.161392649903288,11501.32,0.40883131201764056
12,517,15.313346228239846,11602.24,0.4753653217011996
14,517,15.173288201160542,10892.26,0.43185993111366244
15,517,14.922630560928432,10948.62,0.44106043329532496
16,517,14.908162475822051,11387.69,0.44634279475982536
21,517,14.913829787234043,11008.2,0.43729398663697105
22,517,14.747350096711799,11173.48,0.4732924107142857
26,517,15.62147001934236,11954.31,0.4072060409924488
32,517,14.838936170212765,11250.04,0.5066258351893096
35,517,14.620154738878142,11432.81,0.4218210862619808
36,517,15.000406189555125,11347.37,0.45026997840172783
38,517,15.2,11649.84,0.4776394849785408
42,517,15.3963249516441,11485.52,0.44335164835164836
45,517,14.832069632495164,11238.09,0.49058114035087713
47,517,15.117582205029013,11755.85,0.4482321618743344
48,517,15.212553191489363,11764.5,0.4109462365591398
53,517,14.834932301740812,10681.96,0.3890719257540603
55,517,15.267659574468086,11933.91,0.5177753544165759
59,517,15.082166344294002,11489.29,0.39122294372294375
62,517,15.002688588007738,11225.58,0.38742888402625825
63,517,14.76127659574468,11138.51,0.3984522502744237
67,517,14.880251450676983,11819.29,0.4339554612937434
69,517,15.08963249516441,11415.78,0.45075839653304445
70,517,15.213945841392649,11645.4,0.4813856068743287
71,517,14.937775628626692,10650.93,0.3854482758620689
73,517,14.571392649903288,10823.58,0.4614905450500556
75,517,15.085164410058027,11332.68,0.4603162486368593
76,517,14.91972920696325,10973.24,0.4283990980834273
83,517,15.280773694390716,11248.26,0.4649663677130045
85,517,14.785531914893618,11648.18,0.45741764080765146
86,517,14.589226305609284,10885.6,0.43529147982062777
87,517,14.99825918762089,11290.7,0.4796271186440678
91,517,14.813733075435202,11289.08,0.5185918591859187
92,517,15.053675048355899,11885.66,0.45329461457233367
94,517,15.36595744680851,11900.34,0.3905194805194805
97,517,15.4221083172147,11638.44,0.47865621500559913
100,517,14.822437137330754,11511.43,0.43558315334773223
101,517,14.945570599613152,11273.09,0.4095749440715884
102,517,15.119419729206962,11386.82,0.4630242825607064
103,517,15.105473887814313,11691.21,0.4230901287553648
104,517,15.019767891682786,11567.06,0.486822633297062
106,517,15.030870406189555,11531.89,0.4143088552915766
108,517,15.017117988394585,11074.93,0.44765227021040976
110,517,14.893326885880079,11329.73,0.45835176991150445
111,517,14.93431334622824,11719.83,0.4471871657754011
112,517,14.42027079303675,11221.94,0.43688720173535794
116,517,14.829690522243713,11149.34,0.40146503884572693
118,517,14.900212765957447,11354.82,0.43778877887788775
120,517,14.611818181818183,10957.13,0.49185226019845646
123,517,14.996847195357834,11638.79,0.4708658008658008
128,517,15.04495164410058,11315.18,0.525726872246696
129,517,15.574912959381043,11548.85,0.531803833145434
130,517,14.874100580270794,11437.59,0.5398911860718172
132,517,15.302166344294005,11821.63,0.42995735607675906
133,517,15.061025145067699,11227.1,0.4277366702937976
136,517,14.983752417794971,11424.92,0.4091289966923925
138,517,14.975473887814314,11512.08,0.3924810400866739
140,517,15.265106382978724,11154.68,0.43073863636363635
141,517,15.158607350096712,11179.48,0.456976483762598
142,517,15.01671179883946,10756.46,0.4559581881533101
145,517,14.851237911025146,10806.77,0.45484916201117315
149,517,14.618027079303676,11139.81,0.4715946843853821
150,517,14.822688588007736,10864.77,0.41401345291479824
151,517,14.814255319148936,11856.01,0.5393147751605996
152,517,14.398317214700194,10769.76,0.4365936473165389
155,517,15.204294003868473,11706.24,0.4646002190580504
